season,posteam,field_zone,pass_rate,epa,success,plays
2023,CHI,2. Own Mid (50-74),0.5127272727272727,0.0023605304660106246,0.4509090909090909,275
2023,CHI,3. Opp Mid (25-49),0.5426008968609866,-0.013721778857428665,0.4170403587443946,223
2023,CHI,4. Red Zone (10-24),0.5,-0.06269577174577473,0.3472222222222222,72
2023,CHI,5. Goal-to-Go (<10),0.4883720930232558,0.10274915218840432,0.5348837209302325,43
2023,CIN,1. Own End (75-100),0.6153846153846154,-0.04657011068855274,0.4010989010989011,182
2023,CIN,2. Own Mid (50-74),0.6628352490421456,0.1379030117277998,0.46360153256704983,261
2023,CIN,3. Opp Mid (25-49),0.7401960784313726,-0.03892300048954946,0.4362745098039216,204
2023,CIN,4. Red Zone (10-24),0.625,0.0565194754730964,0.53125,96
2023,CIN,5. Goal-to-Go (<10),0.4603174603174603,-0.0031380922134665104,0.4444444444444444,63
2023,CLE,1. Own End (75-100),0.6,-0.08988684954376713,0.3952380952380952,210
2023,CLE,2. Own Mid (50-74),0.628482972136223,-0.14317643012791648,0.3931888544891641,323
2023,CLE,3. Opp Mid (25-49),0.5308056872037915,-0.13794893833161934,0.4549763033175355,211
2023,CLE,4. Red Zone (10-24),0.5113636363636364,-0.24798560722667842,0.2727272727272727,88
2023,CLE,5. Goal-to-Go (<10),0.4888888888888889,0.0671952211380609,0.37777777777777777,45
2023,DAL,1. Own End (75-100),0.6299212598425197,0.06713033687711994,0.3858267716535433,127
2023,DAL,2. Own Mid (50-74),0.6666666666666666,0.24151667647812566,0.527027027027027,222
2023,DAL,3. Opp Mid (25-49),0.6095238095238096,0.21239030051486787,0.5428571428571428,210
2023,DAL,4. Red Zone (10-24),0.5217391304347826,0.15274505166484506,0.4608695652173913,115
2023,DAL,5. Goal-to-Go (<10),0.6153846153846154,-0.3747179783342138,0.38461538461538464,65
2023,DEN,1. Own End (75-100),0.5789473684210527,-0.07825272055090901,0.4152046783625731,171
2023,DEN,2. Own Mid (50-74),0.5746268656716418,-0.13874852007629399,0.39925373134328357,268
2023,DEN,3. Opp Mid (25-49),0.5217391304347826,-0.0655001150563121,0.41847826086956524,184
2023,DEN,4. Red Zone (10-24),0.5913978494623656,0.09195123329035718,0.46236559139784944,93
2023,DEN,5. Goal-to-Go (<10),0.5333333333333333,-0.02171078431300341,0.4,45
2023,DET,1. Own End (75-100),0.6153846153846154,-0.03672826546364872,0.42011834319526625,169
2023,DET,2. Own Mid (50-74),0.5977011494252874,0.04091501453616193,0.4521072796934866,261
2023,DET,3. Opp Mid (25-49),0.5736040609137056,0.17409500809596656,0.5329949238578681,197
2023,DET,4. Red Zone (10-24),0.5280898876404494,0.28769306168547387,0.5056179775280899,89
2023,DET,5. Goal-to-Go (<10),0.375,0.08201155201987818,0.4444444444444444,72
2023,GB,1. Own End (75-100),0.6137931034482759,-0.004293697641496065,0.38620689655172413,145
2023,GB,2. Own Mid (50-74),0.5984555984555985,0.14636089659125623,0.4942084942084942,259
2023,GB,3. Opp Mid (25-49),0.5787037037037037,0.0965728932929237,0.48148148148148145,216
2023,GB,4. Red Zone (10-24),0.5460992907801419,-0.09184517362447467,0.36879432624113473,141
2023,GB,5. Goal-to-Go (<10),0.46938775510204084,0.32229032646972083,0.4897959183673469,49
2023,HOU,1. Own End (75-100),0.5645161290322581,-0.012376598914914955,0.3924731182795699,186
2023,HOU,2. Own Mid (50-74),0.6290322580645161,-0.08960830352847435,0.3967741935483871,310
2023,HOU,3. Opp Mid (25-49),0.5804597701149425,0.17373952122998362,0.5057471264367817,174
2023,HOU,4. Red Zone (10-24),0.5104166666666666,-0.058475088338123704,0.3854166666666667,96
2023,HOU,5. Goal-to-Go (<10),0.4166666666666667,0.11209494486250854,0.4666666666666667,60
2023,IND,1. Own End (75-100),0.5700483091787439,-0.06973501121156268,0.357487922705314,207
