season,posteam,game_script,pass_rate,plays
2024,LV,Trailing (1-7),0.5938375350140056,357
2024,LV,Trailing (8+),0.5974025974025974,154
2024,MIA,Leading (1-7),0.5462555066079295,227
2024,MIA,Leading (8+),0.5,26
2024,MIA,Tied,0.5615763546798029,203
2024,MIA,Trailing (1-7),0.5436507936507936,252
2024,MIA,Trailing (8+),0.6778523489932886,149
2024,MIN,Leading (1-7),0.5658536585365853,205
2024,MIN,Leading (8+),0.6296296296296297,108
2024,MIN,Tied,0.6164383561643836,219
2024,MIN,Trailing (1-7),0.6116071428571429,224
2024,MIN,Trailing (8+),0.7222222222222222,54
2024,NE,Leading (1-7),0.519774011299435,177
2024,NE,Leading (8+),0.5555555555555556,18
2024,NE,Tied,0.5357142857142857,196
2024,NE,Trailing (1-7),0.572,250
2024,NE,Trailing (8+),0.5476190476190477,126
2024,NO,Leading (1-7),0.5720720720720721,222
2024,NO,Leading (8+),0.425,40
2024,NO,Tied,0.474025974025974,154
2024,NO,Trailing (1-7),0.5991902834008097,247
2024,NO,Trailing (8+),0.6296296296296297,108
2024,NYG,Leading (1-7),0.6545454545454545,55
2024,NYG,Leading (8+),0.5,22
2024,NYG,Tied,0.5380116959064327,171
2024,NYG,Trailing (1-7),0.576,375
2024,NYG,Trailing (8+),0.5365853658536586,164
2024,NYJ,Leading (1-7),0.6039603960396039,202
2024,NYJ,Leading (8+),0.5,34
2024,NYJ,Tied,0.6,180
2024,NYJ,Trailing (1-7),0.6489675516224189,339
2024,NYJ,Trailing (8+),0.7032967032967034,91
2024,PHI,Leading (1-7),0.4860759493670886,395
2024,PHI,Leading (8+),0.5151515151515151,99
2024,PHI,Tied,0.45794392523364486,214
2024,PHI,Trailing (1-7),0.5065359477124183,306
2024,PHI,Trailing (8+),0.44,25
2024,PIT,Leading (1-7),0.526595744680851,188
2024,PIT,Leading (8+),0.5185185185185185,27
2024,PIT,Tied,0.5081967213114754,183
2024,PIT,Trailing (1-7),0.568733153638814,371
2024,PIT,Trailing (8+),0.5,118
2024,SEA,Leading (1-7),0.5934065934065934,182
2024,SEA,Leading (8+),0.5588235294117647,34
2024,SEA,Tied,0.6139240506329114,158
2024,SEA,Trailing (1-7),0.6266233766233766,308
2024,SEA,Trailing (8+),0.6771653543307087,127
2024,SF,Leading (1-7),0.5678391959798995,199
2024,SF,Leading (8+),0.631578947368421,57
2024,SF,Tied,0.5388888888888889,180
2024,SF,Trailing (1-7),0.5806451612903226,217
2024,SF,Trailing (8+),0.5,106
2024,TB,Leading (1-7),0.5046296296296297,216
2024,TB,Leading (8+),0.6595744680851063,47
2024,TB,Tied,0.5561497326203209,187
2024,TB,Trailing (1-7),0.5743944636678201,289
2024,TB,Trailing (8+),0.6228070175438597,114
2024,TEN,Leading (1-7),0.5514018691588785,214
2024,TEN,Leading (8+),0.4090909090909091,22
2024,TEN,Tied,0.445,200
2024,TEN,Trailing (1-7),0.5699481865284974,193
2024,TEN,Trailing (8+),0.5590551181102362,127
2024,WAS,Leading (1-7),0.5234375,256
2024,WAS,Leading (8+),0.4383561643835616,73
2024,WAS,Tied,0.5020576131687243,243
2024,WAS,Trailing (1-7),0.5876288659793815,291
2024,WAS,Trailing (8+),0.5979381443298969,97
2025,ARI,Leading (1-7),0.5343511450381679,131
2025,ARI,Leading (8+),0.7142857142857143,28
2025,ARI,Tied,0.6294416243654822,197
2025,ARI,Trailing (1-7),0.6870229007633588,262
2025,ARI,Trailing (8+),0.6608695652173913,115
2025,ATL,Leading (1-7),0.5465116279069767,258
2025,ATL,Leading (8+),0.25925925925925924,27
2025,ATL,Tied,0.5177865612648221,253
2025,ATL,Trailing (1-7),0.6408163265306123,245
2025,ATL,Trailing (8+),0.5294117647058824,68
2025,BAL,Leading (1-7),0.44607843137254904,204
2025,BAL,Leading (8+),0.5961538461538461,52
2025,BAL,Tied,0.453551912568306,183
2025,BAL,Trailing (1-7),0.5476190476190477,252
2025,BAL,Trailing (8+),0.42857142857142855,77
2025,BUF,Leading (1-7),0.5148514851485149,202
2025,BUF,Leading (8+),0.5098039215686274,51
2025,BUF,Tied,0.4690721649484536,194
2025,BUF,Trailing (1-7),0.5714285714285714,322
2025,BUF,Trailing (8+),0.5325443786982249,169
2025,CAR,Leading (1-7),0.415929203539823,113
2025,CAR,Leading (8+),0.4117647058823529,17
2025,CAR,Tied,0.5380952380952381,210
2025,CAR,Trailing (1-7),0.5706806282722513,382
2025,CAR,Trailing (8+),0.5691056910569106,123
2025,CHI,Leading (1-7),0.5288888888888889,225
2025,CHI,Leading (8+),0.5,44
2025,CHI,Tied,0.5161290322580645,248
2025,CHI,Trailing (1-7),0.5585106382978723,376
2025,CHI,Trailing (8+),0.6206896551724138,145
2025,CIN,Leading (1-7),0.6153846153846154,195
2025,CIN,Leading (8+),0.6363636363636364,22
2025,CIN,Tied,0.5723270440251572,159
2025,CIN,Trailing (1-7),0.6981132075471698,318
2025,CIN,Trailing (8+),0.6717557251908397,131
2025,CLE,Leading (1-7),0.4840764331210191,157
2025,CLE,Leading (8+),0.5925925925925926,27
2025,CLE,Tied,0.5454545454545454,176
2025,CLE,Trailing (1-7),0.5589225589225589,297
2025,CLE,Trailing (8+),0.6666666666666666,150
2025,DAL,Leading (1-7),0.5447154471544715,123
2025,DAL,Leading (8+),0.5476190476190477,42
2025,DAL,Tied,0.5362318840579711,207
2025,DAL,Trailing (1-7),0.6346153846153846,312
2025,DAL,Trailing (8+),0.5914634146341463,164
2025,DEN,Leading (1-7),0.5529411764705883,255
2025,DEN,Leading (8+),0.6428571428571429,42
2025,DEN,Tied,0.6079734219269103,301
2025,DEN,Trailing (1-7),0.6465256797583081,331
2025,DEN,Trailing (8+),0.6190476190476191,63
2025,DET,Leading (1-7),0.5947712418300654,153
2025,DET,Leading (8+),0.6949152542372882,59
2025,DET,Tied,0.5245098039215687,204
2025,DET,Trailing (1-7),0.6065573770491803,244
2025,DET,Trailing (8+),0.6131386861313869,137
2025,GB,Leading (1-7),0.5190839694656488,262
2025,GB,Leading (8+),0.5227272727272727,44
2025,GB,Tied,0.5205479452054794,219
2025,GB,Trailing (1-7),0.5771812080536913,298
2025,GB,Trailing (8+),0.6111111111111112,72
2025,HOU,Leading (1-7),0.5728813559322034,295
2025,HOU,Leading (8+),0.5533980582524272,103
2025,HOU,Tied,0.5720524017467249,229
2025,HOU,Trailing (1-7),0.5679442508710801,287
2025,HOU,Trailing (8+),0.6666666666666666,96
2025,IND,Leading (1-7),0.5742574257425742,202
2025,IND,Leading (8+),0.6923076923076923,65
2025,IND,Tied,0.5892857142857143,168
2025,IND,Trailing (1-7),0.5335689045936396,283
2025,IND,Trailing (8+),0.573170731707317,82
2025,JAX,Leading (1-7),0.5614973262032086,187
2025,JAX,Leading (8+),0.5921052631578947,76
2025,JAX,Tied,0.5787545787545788,273
2025,JAX,Trailing (1-7),0.5848214285714286,224
2025,JAX,Trailing (8+),0.6212121212121212,66
2025,KC,Leading (1-7),0.644927536231884,138
2025,KC,Leading (8+),0.5,16
2025,KC,Tied,0.5911111111111111,225
2025,KC,Trailing (1-7),0.5984251968503937,381
2025,KC,Trailing (8+),0.6416666666666667,120
2025,LA,Leading (1-7),0.6322869955156951,223
2025,LA,Leading (8+),0.5571428571428572,70
2025,LA,Tied,0.6344827586206897,290
2025,LA,Trailing (1-7),0.6203208556149733,374
2025,LA,Trailing (8+),0.7142857142857143,49
2025,LAC,Leading (1-7),0.516260162601626,246
2025,LAC,Leading (8+),0.6444444444444445,45
2025,LAC,Tied,0.5555555555555556,162
2025,LAC,Trailing (1-7),0.6175438596491228,285
2025,LAC,Trailing (8+),0.6815286624203821,157
2025,LV,Leading (1-7),0.5684210526315789,95
2025,LV,Leading (8+),0.5,10
2025,LV,Tied,0.6129032258064516,186
2025,LV,Trailing (1-7),0.5518518518518518,270
2025,LV,Trailing (8+),0.7153846153846154,130
2025,MIA,Leading (1-7),0.5899280575539568,139
2025,MIA,Leading (8+),0.4939759036144578,83
2025,MIA,Tied,0.4444444444444444,162
2025,MIA,Trailing (1-7),0.6031746031746031,189
2025,MIA,Trailing (8+),0.5949367088607594,79
2025,MIN,Leading (1-7),0.5157232704402516,159
2025,MIN,Leading (8+),0.6153846153846154,13
2025,MIN,Tied,0.5483870967741935,186
2025,MIN,Trailing (1-7),0.6045454545454545,220
2025,MIN,Trailing (8+),0.6587301587301587,126
2025,NE,Leading (1-7),0.5251396648044693,358
2025,NE,Leading (8+),0.5333333333333333,60
2025,NE,Tied,0.5289256198347108,242
2025,NE,Trailing (1-7),0.6182432432432432,296
2025,NE,Trailing (8+),0.6571428571428571,35
2025,NO,Leading (1-7),0.6233766233766234,77
2025,NO,Tied,0.6229508196721312,122
2025,NO,Trailing (1-7),0.5865921787709497,358
2025,NO,Trailing (8+),0.5158730158730159,252
2025,NYG,Leading (1-7),0.4978540772532189,233
2025,NYG,Leading (8+),0.5555555555555556,45
2025,NYG,Tied,0.5933333333333334,150
2025,NYG,Trailing (1-7),0.5103448275862069,290
2025,NYG,Trailing (8+),0.5625,128
2025,NYJ,Leading (1-7),0.4528301886792453,53
2025,NYJ,Tied,0.43783783783783786,185
2025,NYJ,Trailing (1-7),0.481651376146789,218
2025,NYJ,Trailing (8+),0.5566502463054187,203
2025,PHI,Leading (1-7),0.532520325203252,246
2025,PHI,Leading (8+),0.6290322580645161,62
2025,PHI,Tied,0.5426008968609866,223
2025,PHI,Trailing (1-7),0.5665529010238908,293
2025,PHI,Trailing (8+),0.675,40
2025,PIT,Leading (1-7),0.592156862745098,255
2025,PIT,Leading (8+),0.5681818181818182,44
2025,PIT,Tied,0.559748427672956,159
2025,PIT,Trailing (1-7),0.6338461538461538,325
2025,PIT,Trailing (8+),0.5757575757575758,99
2025,SEA,Leading (1-7),0.5296442687747036,253
2025,SEA,Leading (8+),0.5844155844155844,77
2025,SEA,Tied,0.5506607929515418,227
2025,SEA,Trailing (1-7),0.5687203791469194,211
2025,SEA,Trailing (8+),0.5846153846153846,65
2025,SF,Leading (1-7),0.5584905660377358,265
2025,SF,Leading (8+),0.5344827586206896,58
2025,SF,Tied,0.5461538461538461,260
2025,SF,Trailing (1-7),0.6041666666666666,240
2025,SF,Trailing (8+),0.6592592592592592,135
2025,TB,Leading (1-7),0.4844961240310077,258
2025,TB,Leading (8+),0.6923076923076923,13
2025,TB,Tied,0.5255813953488372,215
2025,TB,Trailing (1-7),0.5830258302583026,271
2025,TB,Trailing (8+),0.6296296296296297,108
2025,TEN,Leading (1-7),0.5564516129032258,124
2025,TEN,Leading (8+),0.5714285714285714,7
2025,TEN,Tied,0.5433526011560693,173
2025,TEN,Trailing (1-7),0.5726872246696035,227
2025,TEN,Trailing (8+),0.6618705035971223,139
2025,WAS,Leading (1-7),0.5161290322580645,93
2025,WAS,Leading (8+),0.6136363636363636,44
2025,WAS,Tied,0.4338235294117647,136
2025,WAS,Trailing (1-7),0.5601374570446735,291
2025,WAS,Trailing (8+),0.5161290322580645,155
