season,posteam,plays,pass_rate,run_rate,epa_per_play,success_rate,shotgun_rate,no_huddle_rate,epa_per_pass,pass_success_rate,pass_plays,epa_per_rush,rush_success_rate,rush_plays,pass_rate_pct,run_rate_pct,success_rate_pct,shotgun_rate_pct,no_huddle_rate_pct,pass_success_rate_pct,rush_success_rate_pct
2024,BUF,756,0.5542328042328042,0.44576719576719576,0.191,0.4947089947089947,0.6825396825396826,0.07671957671957672,0.216,0.4964200477326969,419,0.161,0.49258160237388726,337,55.4,44.6,49.5,68.3,7.7,49.6,49.3
2024,CAR,709,0.5585331452750353,0.4414668547249647,0.005,0.4217207334273625,0.6431593794076164,0.04936530324400564,-0.024,0.4116161616161616,396,0.042,0.43450479233226835,313,55.9,44.1,42.2,64.3,4.9,41.2,43.5
2024,CHI,755,0.5721854304635762,0.4278145695364238,-0.133,0.3973509933774834,0.6794701986754967,0.24370860927152319,-0.187,0.3726851851851852,432,-0.061,0.43034055727554177,323,57.2,42.8,39.7,67.9,24.4,37.3,43.0
2024,CIN,889,0.6805399325084365,0.3194600674915636,0.121,0.49268841394825647,0.8650168728908887,0.02924634420697413,0.179,0.5322314049586777,605,-0.001,0.4084507042253521,284,68.1,31.9,49.3,86.5,2.9,53.2,40.8
2024,CLE,799,0.6107634543178974,0.38923654568210264,-0.192,0.3579474342928661,0.7296620775969962,0.08010012515644556,-0.246,0.35450819672131145,488,-0.106,0.3633440514469453,311,61.1,38.9,35.8,73.0,8.0,35.5,36.3
2024,DAL,793,0.5952080706179067,0.4047919293820933,-0.053,0.4300126103404792,0.712484237074401,0.05674653215636822,-0.008,0.4470338983050847,472,-0.119,0.40498442367601245,321,59.5,40.5,43.0,71.2,5.7,44.7,40.5
2024,DEN,742,0.5808625336927223,0.4191374663072776,0.005,0.4191374663072776,0.6522911051212938,0.12398921832884097,0.011,0.4245939675174014,431,-0.004,0.4115755627009646,311,58.1,41.9,41.9,65.2,12.4,42.5,41.2
2024,DET,774,0.5439276485788114,0.4560723514211886,0.155,0.5064599483204134,0.45478036175710596,0.03488372093023256,0.237,0.5320665083135392,421,0.058,0.47592067988668557,353,54.4,45.6,50.6,45.5,3.5,53.2,47.6
2024,GB,672,0.47767857142857145,0.5223214285714286,0.109,0.46130952380952384,0.7395833333333334,0.07738095238095238,0.129,0.45794392523364486,321,0.09,0.46438746438746437,351,47.8,52.2,46.1,74.0,7.7,45.8,46.4
2024,HOU,857,0.5904317386231038,0.40956826137689617,-0.006,0.4025670945157526,0.5939323220536756,0.052508751458576426,0.038,0.4407114624505929,506,-0.069,0.3475783475783476,351,59.0,41.0,40.3,59.4,5.3,44.1,34.8
2024,IND,875,0.5211428571428571,0.47885714285714287,-0.05,0.4034285714285714,0.8777142857142857,0.11314285714285714,-0.059,0.40131578947368424,456,-0.041,0.40572792362768495,419,52.1,47.9,40.3,87.8,11.3,40.1,40.6
2024,JAX,775,0.5741935483870968,0.4258064516129032,-0.026,0.4180645161290323,0.7019354838709677,0.11612903225806452,-0.004,0.4314606741573034,445,-0.055,0.4,330,57.4,42.6,41.8,70.2,11.6,43.1,40.0
2024,KC,915,0.6065573770491803,0.39344262295081966,0.104,0.49508196721311476,0.7650273224043715,0.012021857923497269,0.13,0.4936936936936937,555,0.063,0.49722222222222223,360,60.7,39.3,49.5,76.5,1.2,49.4,49.7
2024,LA,885,0.5717514124293785,0.42824858757062145,0.02,0.4768361581920904,0.5389830508474577,0.0711864406779661,0.053,0.48221343873517786,506,-0.024,0.46965699208443273,379,57.2,42.8,47.7,53.9,7.1,48.2,47.0
2024,LAC,774,0.5736434108527132,0.4263565891472868,0.07,0.43281653746770027,0.689922480620155,0.03617571059431524,0.151,0.46396396396396394,444,-0.039,0.39090909090909093,330,57.4,42.6,43.3,69.0,3.6,46.4,39.1
2024,LV,827,0.5864570737605804,0.4135429262394196,-0.165,0.3905683192261185,0.6904474002418379,0.05441354292623942,-0.138,0.41237113402061853,485,-0.202,0.35964912280701755,342,58.6,41.4,39.1,69.0,5.4,41.2,36.0
2024,MIA,857,0.5705950991831972,0.4294049008168028,-0.043,0.4457409568261377,0.7689614935822637,0.047841306884480746,0.06,0.4785276073619632,489,-0.179,0.40217391304347827,368,57.1,42.9,44.6,76.9,4.8,47.9,40.2
2024,MIN,778,0.6079691516709511,0.39203084832904883,0.088,0.4755784061696658,0.5282776349614395,0.11182519280205655,0.174,0.5116279069767442,473,-0.044,0.419672131147541,305,60.8,39.2,47.6,52.8,11.2,51.2,42.0
2024,NE,767,0.546284224250326,0.45371577574967403,-0.063,0.42503259452411996,0.6701434159061278,0.05215123859191656,-0.06,0.4486873508353222,419,-0.066,0.39655172413793105,348,54.6,45.4,42.5,67.0,5.2,44.9,39.7
2024,NO,771,0.5616083009079118,0.4383916990920882,-0.019,0.4072632944228275,0.5499351491569391,0.07003891050583658,-0.001,0.4064665127020785,433,-0.042,0.40828402366863903,338,56.2,43.8,40.7,55.0,7.0,40.6,40.8
2024,NYG,787,0.5628970775095299,0.4371029224904701,-0.118,0.40533672172808133,0.6797966963151207,0.10673443456162643,-0.163,0.41309255079006774,443,-0.059,0.3953488372093023,344,56.3,43.7,40.5,68.0,10.7,41.3,39.5
2024,NYJ,846,0.6276595744680851,0.3723404255319149,-0.004,0.4231678486997636,0.7340425531914894,0.06264775413711583,0.041,0.4387947269303202,531,-0.08,0.3968253968253968,315,62.8,37.2,42.3,73.4,6.3,43.9,39.7
2024,PHI,866,0.49191685912240185,0.5080831408775982,0.1,0.4515011547344111,0.8683602771362586,0.2806004618937644,0.078,0.44835680751173707,426,0.121,0.45454545454545453,440,49.2,50.8,45.2,86.8,28.1,44.8,45.5
2024,PIT,871,0.5350172215843858,0.46498277841561425,-0.051,0.4006888633754305,0.5855338691159586,0.23765786452353616,-0.024,0.41201716738197425,466,-0.082,0.38765432098765434,405,53.5,46.5,40.1,58.6,23.8,41.2,38.8
2024,SEA,809,0.6217552533992583,0.37824474660074164,-0.032,0.446229913473424,0.7676143386897404,0.19777503090234858,-0.009,0.46322067594433397,503,-0.07,0.41830065359477125,306,62.2,37.8,44.6,76.8,19.8,46.3,41.8
2024,SF,759,0.5599472990777339,0.4400527009222661,0.073,0.47299077733860345,0.6073781291172595,0.019762845849802372,0.162,0.5058823529411764,425,-0.04,0.4311377245508982,334,56.0,44.0,47.3,60.7,2.0,50.6,43.1
2024,TB,809,0.5710754017305315,0.4289245982694685,0.11,0.4907292954264524,0.6353522867737948,0.037082818294190356,0.141,0.5064935064935064,462,0.069,0.4697406340057637,347,57.1,42.9,49.1,63.5,3.7,50.6,47.0
2024,TEN,756,0.5251322751322751,0.4748677248677249,-0.155,0.39285714285714285,0.6997354497354498,0.0291005291005291,-0.199,0.3879093198992443,397,-0.106,0.3983286908077994,359,52.5,47.5,39.3,70.0,2.9,38.8,39.8
2024,WAS,794,0.535264483627204,0.464735516372796,0.096,0.47858942065491183,0.9319899244332494,0.6347607052896725,0.042,0.4470588235294118,425,0.158,0.5149051490514905,369,53.5,46.5,47.9,93.2,63.5,44.7,51.5
2025,ARI,733,0.6412005457025921,0.3587994542974079,0.005,0.43519781718963163,0.6616643929058663,0.06412005457025921,0.045,0.44893617021276594,470,-0.065,0.41064638783269963,263,64.1,35.9,43.5,66.2,6.4,44.9,41.1
2025,ATL,851,0.554641598119859,0.44535840188014103,0.021,0.44653349001175086,0.8014101057579318,0.09283196239717979,0.043,0.4597457627118644,472,-0.007,0.43007915567282323,379,55.5,44.5,44.7,80.1,9.3,46.0,43.0
2025,BAL,768,0.4895833333333333,0.5104166666666666,0.042,0.4518229166666667,0.6588541666666666,0.020833333333333332,-0.005,0.4601063829787234,376,0.087,0.44387755102040816,392,49.0,51.0,45.2,65.9,2.1,46.0,44.4
2025,BUF,801,0.5218476903870163,0.4781523096129838,0.103,0.4781523096129838,0.5205992509363296,0.05368289637952559,0.085,0.45933014354066987,418,0.123,0.49869451697127937,383,52.2,47.8,47.8,52.1,5.4,45.9,49.9
