season,posteam,down,dist_bucket,pass_rate,plays
2023,MIN,3,Medium (6-9),0.9272727272727272,55
2023,MIN,3,Short (1-2),0.6111111111111112,36
2023,MIN,4,Long (10+),1.0,2
2023,MIN,4,Med-Short (3-5),0.8,5
2023,MIN,4,Medium (6-9),0.5,4
2023,MIN,4,Short (1-2),0.4,10
2023,NE,1,Long (10+),0.5085227272727273,352
2023,NE,1,Med-Short (3-5),0.0,2
2023,NE,1,Medium (6-9),0.0,6
2023,NE,1,Short (1-2),0.6666666666666666,3
2023,NE,2,Long (10+),0.7032967032967034,91
2023,NE,2,Med-Short (3-5),0.4642857142857143,56
2023,NE,2,Medium (6-9),0.6494845360824743,97
2023,NE,2,Short (1-2),0.27906976744186046,43
2023,NE,3,Long (10+),0.8571428571428571,49
2023,NE,3,Med-Short (3-5),0.8936170212765957,47
2023,NE,3,Medium (6-9),0.9285714285714286,56
2023,NE,3,Short (1-2),0.26666666666666666,30
2023,NE,4,Long (10+),1.0,2
2023,NE,4,Med-Short (3-5),0.8571428571428571,7
2023,NE,4,Medium (6-9),1.0,2
2023,NE,4,Short (1-2),0.3333333333333333,6
2023,NO,1,Long (10+),0.45454545454545453,341
2023,NO,1,Med-Short (3-5),0.4,5
2023,NO,1,Medium (6-9),0.2857142857142857,7
2023,NO,1,Short (1-2),0.0,6
2023,NO,2,Long (10+),0.7653061224489796,98
2023,NO,2,Med-Short (3-5),0.3787878787878788,66
2023,NO,2,Medium (6-9),0.7666666666666667,90
2023,NO,2,Short (1-2),0.30303030303030304,33
2023,NO,3,Long (10+),0.9375,32
2023,NO,3,Med-Short (3-5),0.8478260869565217,46
2023,NO,3,Medium (6-9),0.967741935483871,62
2023,NO,3,Short (1-2),0.3548387096774194,31
2023,NO,4,Med-Short (3-5),1.0,4
2023,NO,4,Medium (6-9),1.0,2
2023,NO,4,Short (1-2),0.4,5
2023,NYG,1,Long (10+),0.527972027972028,286
2023,NYG,1,Med-Short (3-5),0.0,2
2023,NYG,1,Medium (6-9),0.3333333333333333,6
2023,NYG,1,Short (1-2),0.25,4
2023,NYG,2,Long (10+),0.5092592592592593,108
2023,NYG,2,Med-Short (3-5),0.2830188679245283,53
2023,NYG,2,Medium (6-9),0.4927536231884058,69
2023,NYG,2,Short (1-2),0.2,15
2023,NYG,3,Long (10+),0.847457627118644,59
2023,NYG,3,Med-Short (3-5),0.7428571428571429,35
2023,NYG,3,Medium (6-9),0.7592592592592593,54
2023,NYG,3,Short (1-2),0.4666666666666667,30
2023,NYG,4,Med-Short (3-5),1.0,1
2023,NYG,4,Medium (6-9),1.0,1
2023,NYG,4,Short (1-2),0.21428571428571427,14
2023,NYJ,1,Long (10+),0.5,310
2023,NYJ,1,Med-Short (3-5),0.0,2
2023,NYJ,1,Medium (6-9),0.3,10
2023,NYJ,1,Short (1-2),0.0,1
2023,NYJ,2,Long (10+),0.7425742574257426,101
2023,NYJ,2,Med-Short (3-5),0.6,40
2023,NYJ,2,Medium (6-9),0.5121951219512195,82
2023,NYJ,2,Short (1-2),0.3181818181818182,22
2023,NYJ,3,Long (10+),0.8153846153846154,65
2023,NYJ,3,Med-Short (3-5),0.9347826086956522,46
2023,NYJ,3,Medium (6-9),0.9545454545454546,44
2023,NYJ,3,Short (1-2),0.38095238095238093,21
2023,NYJ,4,Long (10+),1.0,3
2023,NYJ,4,Med-Short (3-5),0.6666666666666666,3
2023,NYJ,4,Short (1-2),0.0,8
2023,PHI,1,Long (10+),0.49473684210526314,380
2023,PHI,1,Med-Short (3-5),0.17647058823529413,17
2023,PHI,1,Medium (6-9),0.0,7
2023,PHI,1,Short (1-2),0.0,7
2023,PHI,2,Long (10+),0.7431192660550459,109
2023,PHI,2,Med-Short (3-5),0.5223880597014925,67
2023,PHI,2,Medium (6-9),0.6947368421052632,95
