season,posteam,field_zone,pass_rate,plays
2024,JAX,1. Own End (75-100),0.6312056737588653,141
2024,JAX,2. Own Mid (50-74),0.6090651558073654,353
2024,JAX,3. Opp Mid (25-49),0.5,160
2024,JAX,4. Red Zone (10-24),0.5571428571428572,70
2024,JAX,5. Goal-to-Go (<10),0.43137254901960786,51
2024,KC,1. Own End (75-100),0.5526315789473685,152
2024,KC,2. Own Mid (50-74),0.6457765667574932,367
2024,KC,3. Opp Mid (25-49),0.6159420289855072,276
2024,KC,4. Red Zone (10-24),0.5734265734265734,143
2024,KC,5. Goal-to-Go (<10),0.5121951219512195,82
2024,LA,1. Own End (75-100),0.5934959349593496,123
2024,LA,2. Own Mid (50-74),0.6329113924050633,395
2024,LA,3. Opp Mid (25-49),0.56,250
2024,LA,4. Red Zone (10-24),0.4957983193277311,119
2024,LA,5. Goal-to-Go (<10),0.5256410256410257,78
2024,LAC,1. Own End (75-100),0.6363636363636364,154
2024,LAC,2. Own Mid (50-74),0.5901639344262295,305
2024,LAC,3. Opp Mid (25-49),0.5394736842105263,228
2024,LAC,4. Red Zone (10-24),0.5930232558139535,86
2024,LAC,5. Goal-to-Go (<10),0.4186046511627907,43
2024,LV,1. Own End (75-100),0.5289855072463768,138
2024,LV,2. Own Mid (50-74),0.6434540389972145,359
2024,LV,3. Opp Mid (25-49),0.5897435897435898,195
2024,LV,4. Red Zone (10-24),0.4935064935064935,77
2024,LV,5. Goal-to-Go (<10),0.4827586206896552,58
2024,MIA,1. Own End (75-100),0.5384615384615384,104
2024,MIA,2. Own Mid (50-74),0.5891238670694864,331
2024,MIA,3. Opp Mid (25-49),0.5648854961832062,262
2024,MIA,4. Red Zone (10-24),0.6078431372549019,102
2024,MIA,5. Goal-to-Go (<10),0.4827586206896552,58
2024,MIN,1. Own End (75-100),0.6355140186915887,107
2024,MIN,2. Own Mid (50-74),0.6192052980132451,302
2024,MIN,3. Opp Mid (25-49),0.5643153526970954,241
2024,MIN,4. Red Zone (10-24),0.6571428571428571,105
2024,MIN,5. Goal-to-Go (<10),0.6363636363636364,55
2024,NE,1. Own End (75-100),0.48148148148148145,108
2024,NE,2. Own Mid (50-74),0.5921450151057401,331
2024,NE,3. Opp Mid (25-49),0.5344827586206896,174
2024,NE,4. Red Zone (10-24),0.5363636363636364,110
2024,NE,5. Goal-to-Go (<10),0.4318181818181818,44
2024,NO,1. Own End (75-100),0.5681818181818182,88
