season,posteam,down,dist_bucket,pass_rate,epa,success,plays
2023,DEN,4,Med-Short (3-5),1.0,-1.233793602286217,0.3333333333333333,3
2023,DEN,4,Short (1-2),0.2,0.7059879809326958,0.7,10
2023,DET,1,Long (10+),0.48615384615384616,0.098262930372909,0.4461538461538462,325
2023,DET,1,Med-Short (3-5),0.0,0.10807773171472945,0.5,8
2023,DET,1,Medium (6-9),0.3,-0.09752822300361004,0.3,10
2023,DET,1,Short (1-2),0.16666666666666666,0.09751990098933068,0.5,6
2023,DET,2,Long (10+),0.7472527472527473,0.04475166653839431,0.45054945054945056,91
2023,DET,2,Med-Short (3-5),0.509090909090909,0.11116384571650997,0.5636363636363636,55
2023,DET,2,Medium (6-9),0.5238095238095238,0.07482496080947817,0.4880952380952381,84
2023,DET,2,Short (1-2),0.46875,-0.021558813518822717,0.53125,32
2023,DET,3,Long (10+),0.9230769230769231,-0.08920587084021102,0.3333333333333333,39
2023,DET,3,Med-Short (3-5),0.75,0.4409129371752814,0.6136363636363636,44
2023,DET,3,Medium (6-9),0.8611111111111112,0.11305925801913731,0.4444444444444444,36
2023,DET,3,Short (1-2),0.4411764705882353,-0.21378593121634742,0.47058823529411764,34
2023,DET,4,Long (10+),1.0,-0.6623072094516829,0.0,2
2023,DET,4,Med-Short (3-5),0.75,-0.7423182648271904,0.375,8
2023,DET,4,Short (1-2),0.5,1.1876315823257235,0.7857142857142857,14
2023,GB,1,Long (10+),0.49850746268656715,0.05723558600554104,0.42388059701492536,335
2023,GB,1,Med-Short (3-5),0.125,-0.3246736562286969,0.125,8
2023,GB,1,Medium (6-9),0.2857142857142857,0.2650812282185403,0.5714285714285714,7
2023,GB,1,Short (1-2),0.0,0.24857785541098565,0.5,2
2023,GB,2,Long (10+),0.7195121951219512,-0.024428803314946772,0.3780487804878049,82
2023,GB,2,Med-Short (3-5),0.42028985507246375,0.09053653936438344,0.5652173913043478,69
2023,GB,2,Medium (6-9),0.6145833333333334,0.03068318341108049,0.4270833333333333,96
2023,GB,2,Short (1-2),0.32,0.009729365395614878,0.44,25
2023,GB,3,Long (10+),0.8372093023255814,0.08498564864134726,0.32558139534883723,43
2023,GB,3,Med-Short (3-5),0.9487179487179487,0.5152647015684239,0.5897435897435898,39
2023,GB,3,Medium (6-9),0.9574468085106383,0.16119177081872527,0.40425531914893614,47
2023,GB,3,Short (1-2),0.32558139534883723,-0.015160033697330162,0.6976744186046512,43
2023,GB,4,Long (10+),1.0,-2.445845373615157,0.0,1
2023,GB,4,Med-Short (3-5),1.0,5.955040598521009,1.0,1
2023,GB,4,Medium (6-9),1.0,3.7841490376740694,1.0,1
2023,GB,4,Short (1-2),0.8181818181818182,-0.3038572932286611,0.5454545454545454,11
2023,HOU,1,Long (10+),0.4476744186046512,0.05476502514584008,0.4273255813953488,344
2023,HOU,1,Med-Short (3-5),0.14285714285714285,-0.19982622696053504,0.2857142857142857,7
2023,HOU,1,Medium (6-9),0.25,0.5738904372301477,0.75,8
2023,HOU,1,Short (1-2),0.14285714285714285,-0.25344829665430424,0.14285714285714285,7
2023,HOU,2,Long (10+),0.6632653061224489,-0.14625992100896945,0.32653061224489793,98
2023,HOU,2,Med-Short (3-5),0.46774193548387094,0.06802329590643622,0.45161290322580644,62
2023,HOU,2,Medium (6-9),0.6923076923076923,0.15875911631531567,0.46153846153846156,91
2023,HOU,2,Short (1-2),0.375,-0.004202847253812554,0.5833333333333334,24
2023,HOU,3,Long (10+),0.9038461538461539,-0.08319865429690047,0.3076923076923077,52
2023,HOU,3,Med-Short (3-5),0.8648648648648649,-0.08999497836569113,0.4864864864864865,37
2023,HOU,3,Medium (6-9),0.9636363636363636,-0.10453671905676054,0.36363636363636365,55
2023,HOU,3,Short (1-2),0.5161290322580645,-0.0505801842898488,0.5806451612903226,31
2023,HOU,4,Medium (6-9),1.0,4.090694806945976,1.0,1
2023,HOU,4,Short (1-2),0.2222222222222222,-1.3713839700212702,0.4444444444444444,9
2023,IND,1,Long (10+),0.4444444444444444,-0.03640314224207617,0.3789173789173789,351
2023,IND,1,Med-Short (3-5),0.2,0.5278281369886827,0.7,10
2023,IND,1,Medium (6-9),0.14285714285714285,-0.13024669491902127,0.42857142857142855,7
2023,IND,1,Short (1-2),0.2,0.08639198210439644,0.4,5
2023,IND,2,Long (10+),0.826530612244898,-0.047963369359162504,0.3877551020408163,98
2023,IND,2,Med-Short (3-5),0.3114754098360656,0.011376541000065684,0.45901639344262296,61
2023,IND,2,Medium (6-9),0.6568627450980392,0.0923321954746201,0.5098039215686274,102
2023,IND,2,Short (1-2),0.18181818181818182,0.061142441766357726,0.5454545454545454,22
2023,IND,3,Long (10+),0.8444444444444444,-0.400818512134722,0.17777777777777778,45
2023,IND,3,Med-Short (3-5),0.8,0.5014851350979258,0.575,40
2023,IND,3,Medium (6-9),0.8727272727272727,0.09824597698030396,0.4,55
2023,IND,3,Short (1-2),0.30434782608695654,-0.27018927535326104,0.5,46
2023,IND,4,Med-Short (3-5),1.0,-0.17223835395467005,0.6666666666666666,3
2023,IND,4,Medium (6-9),1.0,-2.3547019562684,0.0,1
2023,IND,4,Short (1-2),0.6,0.34391915899080533,0.6,15
2023,JAX,1,Long (10+),0.4716417910447761,-0.03556741825139859,0.4537313432835821,335
2023,JAX,1,Med-Short (3-5),0.6,-0.6794098907266743,0.4,5
2023,JAX,1,Medium (6-9),0.4444444444444444,-0.6818370361094518,0.1111111111111111,9
