season,posteam,formation,plays,epa,pass_rate,success,usage_pct
2023,SEA,No-Huddle Shotgun,111,0.1519929932738492,0.5855855855855856,0.4774774774774775,12.7
2023,SEA,No-Huddle UC,8,0.6564742095360998,0.375,0.5,0.9
2023,SEA,Shotgun,513,0.03570358713275225,0.7582846003898636,0.43859649122807015,58.7
2023,SEA,Under Center,242,-0.0012268033147386083,0.3305785123966942,0.44214876033057854,27.7
2023,SF,No-Huddle Shotgun,6,0.22279418396162023,1.0,0.6666666666666666,0.9
2023,SF,No-Huddle UC,4,-1.191372423316352,0.25,0.0,0.6
2023,SF,Shotgun,436,0.219652532725075,0.7064220183486238,0.518348623853211,63.1
2023,SF,Under Center,245,0.24888461975057666,0.2938775510204082,0.5510204081632653,35.5
2023,TB,No-Huddle Shotgun,49,0.006628157190826474,0.7142857142857143,0.46938775510204084,6.1
2023,TB,No-Huddle UC,8,-0.40235525730167865,0.25,0.375,1.0
2023,TB,Shotgun,536,-0.02595233747886623,0.6604477611940298,0.38619402985074625,66.3
2023,TB,Under Center,215,-0.01830393130346851,0.3488372093023256,0.3813953488372093,26.6
2023,TEN,No-Huddle Shotgun,16,-0.04968417605414288,0.625,0.375,2.0
2023,TEN,No-Huddle UC,14,0.8249295208619775,0.2857142857142857,0.7142857142857143,1.7
2023,TEN,Shotgun,481,-0.11391784437947268,0.6943866943866944,0.38461538461538464,59.6
2023,TEN,Under Center,296,0.057964225102618255,0.3108108108108108,0.40540540540540543,36.7
2023,WAS,No-Huddle Shotgun,23,-0.49138275615658367,0.8260869565217391,0.13043478260869565,2.8
2023,WAS,Shotgun,632,-0.07385097903680558,0.7389240506329114,0.4287974683544304,77.7
2023,WAS,Under Center,158,-0.08474314873142881,0.2721518987341772,0.43670886075949367,19.4
2024,ARI,No-Huddle Shotgun,57,0.06438173128038252,0.6842105263157895,0.5087719298245614,7.2
2024,ARI,No-Huddle UC,8,-0.8258804688812234,0.375,0.25,1.0
2024,ARI,Shotgun,515,0.0841445853120297,0.6621359223300971,0.47378640776699027,65.4
2024,ARI,Under Center,207,0.014417228011604603,0.3719806763285024,0.42995169082125606,26.3
2024,ATL,No-Huddle Shotgun,107,0.24312993203147196,0.7383177570093458,0.5700934579439252,11.5
2024,ATL,No-Huddle UC,22,-0.09209615210949612,0.22727272727272727,0.4090909090909091,2.4
2024,ATL,Shotgun,656,0.058054398428831304,0.6067073170731707,0.48323170731707316,70.5
2024,ATL,Under Center,145,-0.01414560160764236,0.2896551724137931,0.4413793103448276,15.6
2024,BAL,No-Huddle Shotgun,48,0.24812361373686312,0.5833333333333334,0.4583333333333333,6.1
2024,BAL,No-Huddle UC,2,-0.8888508887030184,0.0,0.5,0.3
2024,BAL,Shotgun,545,0.21876173203468688,0.6055045871559633,0.4990825688073395,69.8
2024,BAL,Under Center,186,0.22042030299283216,0.3118279569892473,0.521505376344086,23.8
2024,BUF,No-Huddle Shotgun,38,0.34512386104171655,0.6052631578947368,0.6052631578947368,5.0
2024,BUF,No-Huddle UC,20,0.3545161335321609,0.0,0.7,2.6
2024,BUF,Shotgun,478,0.17712358278470444,0.702928870292887,0.48326359832635984,63.2
2024,BUF,Under Center,220,0.18118431926585882,0.2727272727272727,0.4818181818181818,29.1
2024,CAR,No-Huddle Shotgun,31,-0.08838818114670526,0.7741935483870968,0.3225806451612903,4.4
2024,CAR,No-Huddle UC,4,-1.0932870311225997,0.25,0.0,0.6
2024,CAR,Shotgun,425,-0.013191336749797646,0.7223529411764706,0.4235294117647059,59.9
2024,CAR,Under Center,249,0.066109652315364,0.2570281124497992,0.43775100401606426,35.1
2024,CHI,No-Huddle Shotgun,136,0.0848783105291668,0.6102941176470589,0.47058823529411764,18.0
2024,CHI,No-Huddle UC,48,-0.12555200028752247,0.08333333333333333,0.5208333333333334,6.4
2024,CHI,Shotgun,377,-0.17979806128331582,0.7506631299734748,0.3687002652519894,49.9
2024,CHI,Under Center,194,-0.19728316569434534,0.31958762886597936,0.3711340206185567,25.7
2024,CIN,No-Huddle Shotgun,25,0.2927423687209375,0.92,0.52,2.8
2024,CIN,No-Huddle UC,1,0.6239790244435426,0.0,1.0,0.1
2024,CIN,Shotgun,744,0.15273680411681897,0.7379032258064516,0.5067204301075269,83.7
2024,CIN,Under Center,119,-0.1172188396590871,0.2773109243697479,0.3949579831932773,13.4
2024,CLE,No-Huddle Shotgun,60,-0.1859578766336856,0.7333333333333333,0.43333333333333335,7.5
2024,CLE,No-Huddle UC,4,-0.5566371744361043,0.0,0.25,0.5
2024,CLE,Shotgun,523,-0.21311298360599312,0.6768642447418738,0.33078393881453155,65.5
2024,CLE,Under Center,212,-0.13448946664177194,0.42452830188679247,0.4056603773584906,26.5
2024,DAL,No-Huddle Shotgun,31,-0.3589690474895499,0.8064516129032258,0.3548387096774194,3.9
