season,posteam,formation,play_type,epa_per_play,plays
2024,JAX,Shotgun,run,-0.05205814197047019,158
2024,JAX,Under Center,pass,-0.002371853125019144,59
2024,JAX,Under Center,run,-0.05788473707182138,172
2024,KC,Shotgun,pass,0.11435464771682985,536
2024,KC,Shotgun,run,0.11144120728428954,263
2024,KC,Under Center,pass,0.16257091815048,79
2024,KC,Under Center,run,-0.02230137651207937,142
2024,LA,Shotgun,pass,-0.10201671895687145,381
2024,LA,Shotgun,run,-0.1109054482144431,136
2024,LA,Under Center,pass,0.3525041484431334,182
2024,LA,Under Center,run,-0.004073120051930749,266
2024,LAC,Shotgun,pass,0.09291034545160118,382
2024,LAC,Shotgun,run,-0.06602194893862998,182
2024,LAC,Under Center,pass,0.14468206933286804,88
2024,LAC,Under Center,run,-0.037185361819929076,164
2024,LV,Shotgun,pass,-0.15948509172581346,407
2024,LV,Shotgun,run,-0.20224500432638393,164
2024,LV,Under Center,pass,-0.02694263718684511,78
2024,LV,Under Center,run,-0.20196166003990396,178
2024,MIA,Shotgun,pass,0.06649689651701311,449
2024,MIA,Shotgun,run,-0.14846876515133628,210
2024,MIA,Under Center,pass,-0.018299972673412414,40
2024,MIA,Under Center,run,-0.2184499742668407,158
2024,MIN,Shotgun,pass,0.0899581693987389,354
2024,MIN,Shotgun,run,-0.018782884201451303,76
2024,MIN,Under Center,pass,0.20728371743874152,141
2024,MIN,Under Center,run,-0.05141864945516815,239
2024,NE,Shotgun,pass,-0.05799031053460021,364
2024,NE,Shotgun,run,0.1403764770591799,150
2024,NE,Under Center,pass,-0.07424958450084722,55
2024,NE,Under Center,run,-0.22278671409715803,198
2024,NO,Shotgun,pass,-0.07855832545231059,318
2024,NO,Shotgun,run,-0.005015331236796063,106
2024,NO,Under Center,pass,0.2120567729777616,115
2024,NO,Under Center,run,-0.05917799135530568,232
2024,NYG,Shotgun,pass,-0.1561454812453784,359
2024,NYG,Shotgun,run,-0.023205050272736116,176
2024,NYG,Under Center,pass,-0.190839536329371,84
2024,NYG,Under Center,run,-0.09730628391930839,168
2024,NYJ,Shotgun,pass,0.026050375094595804,449
2024,NYJ,Shotgun,run,-0.09931138012987815,172
2024,NYJ,Under Center,pass,0.12591058529257523,82
2024,NYJ,Under Center,run,-0.05656024374469131,143
2024,PHI,Shotgun,pass,0.09100653800807111,470
2024,PHI,Shotgun,run,0.08633962659026012,434
2024,PHI,Under Center,pass,0.0736918187577504,37
2024,PHI,Under Center,run,0.18842090362366953,98
2024,PIT,Shotgun,pass,0.00360619514089605,370
2024,PIT,Shotgun,run,0.04867231127642935,152
2024,PIT,Under Center,pass,-0.14295048355580667,106
2024,PIT,Under Center,run,-0.16325592610260928,259
2024,SEA,Shotgun,pass,-0.005367040476096833,443
2024,SEA,Shotgun,run,-0.05679336280214428,178
2024,SEA,Under Center,pass,-0.038232824455675045,60
2024,SEA,Under Center,run,-0.08755478484434968,128
2024,SF,Shotgun,pass,0.0730818203311394,330
2024,SF,Shotgun,run,-0.025022803631645402,131
2024,SF,Under Center,pass,0.4715515971915968,95
2024,SF,Under Center,run,-0.04919699505201106,203
2024,TB,Shotgun,pass,0.14500301616197042,394
2024,TB,Shotgun,run,0.13974216311636714,149
2024,TB,Under Center,pass,0.24484511657120211,87
2024,TB,Under Center,run,-0.025485863968325168,223
2024,TEN,Shotgun,pass,-0.22613804401081744,325
2024,TEN,Shotgun,run,-0.09955022867556171,204
2024,TEN,Under Center,pass,-0.07820986251155976,72
2024,TEN,Under Center,run,-0.11411451480951607,155
2024,WAS,Shotgun,pass,0.06567440219556345,505
2024,WAS,Shotgun,run,0.12430355256383763,395
